Year,Month,UN_SIGMA2U_1,UN_SIGMA2U_2,UN_SIGMA2U_3,UN_SIGMA2U_4,UN_SIGMA2U_5,UN_SIGMA2U_6,UN_SIGMA2U_7,UN_SIGMA2U_8,UN_SIGMA2U_9
1988,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1988,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1989,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1990,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,2,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,3,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,4,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,5,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,6,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,7,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,8,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,9,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,10,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,11,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1991,12,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
1992,1,0.000418613,0.00041847,0.000571909,0.000763284,0.001049804,0.00094014,0.008336719,0.002206814,0.000108599
